firstName,lastName,login,email
Francis,Chichester,francis.chichester@adventure.net,francis.chichester@adventure.net
Ernest,Hemingway,ernest.hemingway@adventure.net,ernest.hemingway@adventure.net
Reinhold,Messner,reinhold.messner@adventure.net,reinhold.messner@adventure.net
Mary,Kingsley,mary.kingsley@adventure.net,mary.kingsley@adventure.net
Nanook,oftheNorth,nanook.ofthenorth@adventure.net,nanook.ofthenorth@adventure.net
Gertrude,Bell,gertrude.bell@adventure.net,gertrude.bell@adventure.net
Jeanne,Baret,jeanne.baret@adventure.net,jeanne.baret@adventure.net
Buzz,Aldrin,buzz.aldrin@adventure.net,buzz.aldrin@adventure.net
John,Cabot,john.cabot@adventure.net,john.cabot@adventure.net
Vincent,vanGogh,vincent.vangogh@painters.net,vincent.vangogh@painters.net
Pablo,Picasso,pablo.picasso@painters.net,pablo.picasso@painters.net
Leonardo,daVinci,leonardo.davinci@painters.net,leonardo.davinci@painters.net
Claude,Monet,claude.monet@painters.net,claude.monet@painters.net
Michelangelo,Buonarroti,michelangelo.buonarroti@painters.net,michelangelo.buonarroti@painters.net
Rembrandt,vanRijn,rembrandt.vanrijn@painters.net,rembrandt.vanrijn@painters.net
Salvador,Dali,salvador.dali@painters.net,salvador.dali@painters.net
Frida,Kahlo,frida.kahlo@painters.net,frida.kahlo@painters.net
Jackson,Pollock,jackson.pollock@painters.net,jackson.pollock@painters.net
Georgia,O'Keeffe,georgia.okeeffe@painters.net,georgia.okeeffe@painters.net
Andy,Warhol,andy.warhol@painters.net,andy.warhol@painters.net
Edvard,Munch,edvard.munch@painters.net,edvard.munch@painters.net
Gustav,Klimt,gustav.klimt@painters.net,gustav.klimt@painters.net
Rene,Magritte,rene.magritte@painters.net,rene.magritte@painters.net
Henri,Matisse,henri.matisse@painters.net,henri.matisse@painters.net
Paul,Cezanne,paul.cezanne@painters.net,paul.cezanne@painters.net
Marc,Chagall,marc.chagall@painters.net,marc.chagall@painters.net
Caravaggio,Caravaggio,caravaggio.caravaggio@painters.net,caravaggio.caravaggio@painters.net
Wassily,Kandinsky,wassily.kandinsky@painters.net,wassily.kandinsky@painters.net
JMW,Turner,jmw.turner@painters.net,jmw.turner@painters.net
firstName,lastName,login,email
Hieronymus,Bosch,hieronymus.bosch@painters.net,hieronymus.bosch@painters.net
Piet,Mondrian,piet.mondrian@painters.net,piet.mondrian@painters.net
Albrecht,Durer,albrecht.durer@painters.net,albrecht.durer@painters.net
Edgar,Degas,edgar.degas@painters.net,edgar.degas@painters.net
Paul,Gauguin,paul.gauguin@painters.net,paul.gauguin@painters.net
Francisco,Goya,francisco.goya@painters.net,francisco.goya@painters.net
Joan,Miro,joan.miro@painters.net,joan.miro@painters.net
Johannes,Vermeer,johannes.vermeer@painters.net,johannes.vermeer@painters.net
Raphael,Raphael,raphael.raphael@painters.net,raphael.raphael@painters.net
Mary,Cassatt,mary.cassatt@painters.net,mary.cassatt@painters.net
Eugene,Delacroix,eugene.delacroix@painters.net,eugene.delacroix@painters.net
Roy,Lichtenstein,roy.lichtenstein@painters.net,roy.lichtenstein@painters.net
Willem,deKooning,willem.dekooning@painters.net,willem.dekooning@painters.net
Titian,Titian,titian.titian@painters.net,titian.titian@painters.net
Paul,Klee,paul.klee@painters.net,paul.klee@painters.net
Peter,PaulRubens,peter.paulrubens@painters.net,peter.paulrubens@painters.net
Henri,Rousseau,henri.rousseau@painters.net,henri.rousseau@painters.net
John,SingerSargent,john.singersargent@painters.net,john.singersargent@painters.net
Amedeo,Modigliani,amedeo.modigliani@painters.net,amedeo.modigliani@painters.net
James,Whistler,james.whistler@painters.net,james.whistler@painters.net
